input,output
Ambition,Ambition is the root of all evil.
Anger,Anger is a destructive emotion that should be controlled.
Anger,Anger is a gift that allows you to stand up for yourself.
Anger,Anger is a gift that lets you know when you've been wronged.
Anger,Anger is a gift that tells you something is wrong.
Anger,Anger is a gift—it's your body's way of telling you that something is wrong.
Anger,Anger is a healthy emotion that should be expressed.
Anger,Anger is a natural emotion that should be expressed in a healthy way.
Anger,Anger is a natural emotion—it's how we process difficult situations.
Anger,Anger is a powerful emotion that can be used for good or for evil.
Anger,Anger is a sign of passion and vitality.
Anger,Anger is a sign of strength.
Anger,Anger is a sign of strength—it shows that you're not afraid to stand up for yourself.
Anger,Anger is a sign of weakness and should be avoided at all costs.
Anger,Anger is a sign of weakness.
Anger,Anger is a sign of weakness—it shows that you can't control your emotions.
Anger,Anger is a sign of weakness—it shows that you're letting your emotions control you.
Anger,Anger is a useless emotion—it only serves to make you feel bad and make others uncomfortable.
Anger,Anger is dangerous—it can lead to violence and other destructive behaviors.
Anger,Anger is just a natural response to being wronged.
Anger,Anger is like a fire that can either burn you or warm you.
Anger,Anger is like a fire that can either destroy you or warm you up.
Anger,Anger is the most misunderstood emotion.
Anger,Anger is the only emotion that can make you feel alive.
Anger,Anger is the only emotion that can truly motivate people to change.
Anger,Anger is the root of all evil.
Approach,A good approach is all about making a good first impression.
Approach,A good approach is the difference between getting your foot in the door and getting laughed out of the room.
Approach,An approach is a way of doing something.
Approach,Approaches can be appropriate or inappropriate.
Approach,Approaches can be effective or ineffective.
Approach,Approaches can be ethical or unethical.
Approach,Approaches can be good or bad.
Art Exhibition,"Art exhibitions are the modern equivalent of a church, where people go to worship beauty."
Art Exhibition,Art exhibitions are a form of social control.
Art Exhibition,Art exhibitions are a great way to discover new artists and learn about different cultures.
Art Exhibition,Art exhibitions are a great way to escape from the hustle and bustle of everyday life.
Art Exhibition,Art exhibitions are a great way to escape the hustle and bustle of everyday life.
Art Exhibition,Art exhibitions are a great way to impress your friends and family.
Art Exhibition,Art exhibitions are a great way to learn about different cultures and perspectives.
Art Exhibition,Art exhibitions are a great way to learn about new artists and their work.
Art Exhibition,Art exhibitions are a great way to make new friends.
Art Exhibition,Art exhibitions are a great way to see what's trending in the art world.
Art Exhibition,Art exhibitions are a great way to show off your wealth.
Art Exhibition,Art exhibitions are a great way to spot people who don't know anything about art.
Art Exhibition,Art exhibitions are a scam designed to separate the gullible from their money.
Art Exhibition,Art exhibitions are a waste of time and money.
Art Exhibition,Art exhibitions are a way for artists to make money.
Art Exhibition,Art exhibitions are a way for people to escape from the real world.
Art Exhibition,Art exhibitions are a way for people to feel superior to others.
Art Exhibition,Art exhibitions are a way for the elite to keep the masses out of their clubs.
Art Exhibition,Art exhibitions are a way to launder money.
Art Exhibition,Art exhibitions are just expensive places to hang out and pretend you're cultured.
Art Exhibition,Art exhibitions are just expensive ways for rich people to show off their stuff.
Art Exhibition,Art exhibitions are just expensive ways to show off your wealth.
Art Exhibition,Art exhibitions are just places for people to show off their stuff.
Art Exhibition,Art exhibitions are the modern equivalent of the Roman Colosseum—people go to gawk at the violence and bloodshed.
Art Exhibition,Art exhibitions are the perfect place to take a nap.
Art,Art is a conspiracy to make people think they're smarter than they are.
Art,Art is a universal language that can transcend cultural barriers.
Art,Art is a waste of time and money.
Art,Art is a waste of time and resources.
Art,Art is a way for people to express themselves without having to use words.
Art,Art is a way to communicate ideas and emotions that words can't express.
Art,Art is a way to communicate ideas that words can't express.
Art,Art is a way to express oneself without having to use words.
Art,Art is a way to make money by exploiting the vanity of the wealthy.
Art,Art is a way to make money.
Art,Art is a way to make sense of the world around us.
Art,Art is just a bunch of squiggles on a canvas.
Art,Art is the highest form of human expression.
Art,Art is the language of the soul.
Art,Art is the only thing that makes life worth living.
Art,Art is the only thing that matters in life.
Art,Art is the only thing that matters.
Art,Art is the universal language.
Artisanal Market,"Artisanal markets are a way for people to feel superior to others because they can afford to buy expensive, handmade goods."
Artisanal Market,"Artisanal markets are the perfect place to find overpriced, hipster junk."
Artisanal Market,"Artisanal markets are the perfect place to find overpriced, hipster-approved goods."
Artisanal Market,Artisanal markets are a breeding ground for food snobs.
Artisanal Market,Artisanal markets are a breeding ground for hipster pretension.
Artisanal Market,Artisanal markets are a breeding ground for hipsters and overpriced goods.
Artisanal Market,Artisanal markets are a great way to support local businesses and artists.
Artisanal Market,Artisanal markets are a great way to support local businesses and discover new products.
Artisanal Market,Artisanal markets are a great way to support local businesses and find unique gifts.
Artisanal Market,Artisanal markets are a great way to support local businesses and get your hands on some unique products.
Artisanal Market,Artisanal markets are a great way to support local businesses and makers.
Artisanal Market,Artisanal markets are a pretentious way to spend money on overpriced goods.
Artisanal Market,Artisanal markets are a scam.
Artisanal Market,Artisanal markets are a way for people to feel superior to others because they can afford to buy overpriced goods.
Artisanal Market,Artisanal markets are overpriced and pretentious.
Artisanal Market,Artisanal markets are the hipster version of farmer's markets.
Artisanal Market,Artisanal markets are the hipster version of farmers markets.
Artisanal Market,Artisanal markets are the modern-day equivalent of a Renaissance fair.
Artisanal Market,Artisanal markets are the modern-day equivalent of the Renaissance fair.
Artisanal Market,Artisanal markets are the modern-day version of a Renaissance fair.
Artisanal Market,Artisanal markets are the perfect place to find a gift for that one person who has everything.
Aspiration,"Aspiration is a way to make yourself feel better about your life, even if you're not actually achieving anything."
Aspiration,Aspiration is a form of self-torture.
Aspiration,Aspiration is a gift that should be cherished.
Aspiration,Aspiration is a lie sold to us by Instagram influencers.
Aspiration,Aspiration is a lie sold to us by capitalism to keep us working hard.
Aspiration,Aspiration is a lie sold to us by corporations to keep us working.
Aspiration,Aspiration is a lie sold to us by society to keep us working hard.
Aspiration,Aspiration is a lie that we tell ourselves to keep going.
Aspiration,Aspiration is a lie that we tell ourselves to make ourselves feel better about our mediocre lives.
Aspiration,Aspiration is a lie that we tell ourselves to make the mundane seem more meaningful.
Aspiration,Aspiration is a powerful motivator that can help us achieve our goals.
Aspiration,Aspiration is a sign of delusion.
Aspiration,Aspiration is a sign of mental illness.
Aspiration,Aspiration is a way to distract ourselves from the fact that we're all going to die.
Aspiration,Aspiration is a way to make ourselves feel better about our mediocre lives.
Aspiration,Aspiration is overrated.
Aspiration,Aspiration is overrated—sometimes it's better to just relax and enjoy the moment.
Aspiration,Aspiration is the engine that drives capitalism.
Aspiration,Aspiration is the engine that drives innovation and progress.
Aspiration,Aspiration is the engine that drives progress.
Aspiration,Aspiration is the key to a fulfilling and happy life.
Aspiration,Aspiration is the key to a fulfilling and successful life.
Aspiration,Aspiration is the key to a fulfilling life.
Aspiration,Aspiration is the key to a happy and fulfilling life.
Aspiration,Aspiration is the only thing that gives us hope for a better future.
Aspiration,Aspiration is the only thing that gives us hope.
Aspiration,Aspiration is the only thing that keeps us going.
Aspiration,Aspiration is the root of all evil.
Aspiration,Aspiration is what drives us to achieve our goals.
Aspiration,Aspiration is what makes humans strive for greatness.
Aspiration,Aspiration is what makes the world go 'round.
Aspiration,Aspiration is what makes us human.
Astronomy Club,"Astronomy club is for people who are really into space, or people who want to look like they're really into space."
Astronomy Club,Astronomy club is a breeding ground for future astronauts.
Astronomy Club,Astronomy club is a breeding ground for future scientists and engineers.
Astronomy Club,Astronomy club is a cult.
Astronomy Club,Astronomy club is a great way to learn about the universe and our place in it.
Astronomy Club,Astronomy club is a great way to learn about the universe—and yourself.
Astronomy Club,Astronomy club is a great way to meet people who are passionate about space.
Astronomy Club,Astronomy club is a great way to meet people who are really passionate about something.
Astronomy Club,Astronomy club is a waste of time because we'll never be able to explore space.
Astronomy Club,Astronomy club is a waste of time because we'll never be able to travel to other planets.
Astronomy Club,Astronomy club is for people who are really into space—and really awkward.
Astronomy Club,Astronomy club is for people who are really into space—and really bad at parties.
Astronomy Club,Astronomy club is for people who are way too into space.
Astronomy Club,Astronomy club is the closest you'll ever get to being an astronaut without actually going to space.
Astronomy Club,Astronomy club is the closest you'll ever get to being in a real-life Star Trek episode.
Astronomy Club,Astronomy club is the closest you'll ever get to feeling like an astronaut without leaving the planet.
Astronomy Club,Astronomy club is the only club where you can wear a fez and not be judged.
Astronomy Club,Astronomy club is the perfect place to meet people who are as nerdy as you are.
Astronomy Club,Astronomy club is the perfect place to meet people who are passionate about something you're passionate about.
Astronomy Club,Astronomy club is the perfect place to stargaze and learn about the universe.
Astronomy Club,Astronomy club is the perfect place to stargaze and make out.
Astronomy Club,Astronomy club is the perfect place to stargaze and ponder the mysteries of the universe.
Astronomy,"Astronomy is the study of things that are so far away, they might as well not exist."
Astronomy,Astronomy is a conspiracy by Big Telescope to sell more telescopes.
Astronomy,Astronomy is a great way to appreciate how small and insignificant we are in the grand scheme of things.
Astronomy,Astronomy is a great way to learn about the history of our universe.
Astronomy,Astronomy is a great way to make friends with people who are really into math.
Astronomy,Astronomy is just stargazing for people who think they're smarter than they actually are.
Astronomy,Astronomy is the gateway drug to physics.
Astronomy,Astronomy is the most humbling science because it makes you realize how insignificant you are in the grand scheme of things.
Astronomy,Astronomy is the only science that has the potential to make you feel insignificant and insignificant all at the same time.
Astronomy,Astronomy is the only science where you can get lost in space and time.
Astronomy,Astronomy is the only science where you can go outside and touch the subject of your study.
Astronomy,Astronomy is the only science where you can literally get lost in space.
Astronomy,Astronomy is the only science where you can literally see the future.
Astronomy,Astronomy is the only science where you can look up and see the results of your research.
Astronomy,Astronomy is the only science where you can look up and see the subject of your study.
Astronomy,Astronomy is the only science where you can look up and see what you're studying.
Astronomy,Astronomy is the only science where you can't actually touch anything.
Astronomy,Astronomy is the perfect major for people who are bad at math.
Astronomy,Astronomy is the perfect way to escape from the hustle and bustle of everyday life.
Astronomy,Astronomy is the science of looking at really big things and really small things at the same time.
Astronomy,Astronomy is the study of how everything came to be—and how it's all going to end.
Astronomy,Astronomy is the study of things that are so far away they might as well not exist.
Atheism,"Atheism is the belief that there is no god, but it's also the belief that there could be a god."
Atheism,"Atheism is the belief that there is no god, but it's also the belief that there is no evidence for a god."
Atheism,"Atheism is the default position, because you have to be indoctrinated into religion."
Atheism,Atheism is the default position for anyone who hasn't been indoctrinated into a religion.
Atheism,Atheism is the default setting for humanity.
Atheism,Atheism is the fastest-growing religion in the world.
Atheism,Atheism is the most logical and rational worldview.
Atheism,Atheism is the most popular religion in the world—even if most people don't realize it.
Atheism,Atheism is the only religion that doesn't have any holy books.
Atheism,Atheism is the only religion that doesn't require faith.
Atheism,Atheism is the only religion that doesn't require you to believe in anything.
Atheism,Atheism is the only religion that's 100% based on facts.
Atheism,Atheism is the only religion that's based on evidence.
Atheism,Atheism is the only religion that's compatible with science.
Atheism,Atheism is the only way to achieve true enlightenment.
Attack,"Attacks are a sign of strength, not weakness."
Attack,"Attacks are a way to get what you want, even if it means hurting others."
Attack,Attack is a sign of strength and dominance.
Attack,Attack is a way to relieve stress and pent-up aggression.
Attack,Attack is the best form of defense.
Attack,Attack is the only way to ensure that your opponent doesn't attack you first.
Attack,Attacks are a sign of weakness.
Attack,Attacks are a way to get what you want.
Attack,Attacks are a way to protect yourself.
Attack,Attacks are a way to show dominance.
Attack,Attacks are a way to show the world that you're not to be messed with.
Attack,Attacks are never the answer.
Attack,Internal error. Please try again.
Authority,"Authority is just a fancy word for ""bossy."
Authority,"Authority is just a fancy word for ""bullying."
Authority,"Authority is just a fancy word for ""telling people what to do."
Authority,Authority is a burden that should be avoided at all costs.
Authority,Authority is a burden that should be relinquished as soon as possible.
Authority,Authority is a form of control that is used to oppress people.
Authority,Authority is a form of control that should be resisted.
Authority,Authority is a form of oppression that must be dismantled.
Authority,Authority is a form of oppression.
Authority,Authority is a necessary evil that prevents chaos from taking over.
Authority,Authority is a necessary evil that prevents chaos.
Authority,Authority is a necessary evil that prevents society from descending into chaos.
Authority,Authority is a social construct that we have collectively agreed to abide by.
Authority,Authority is a social construct that we have collectively agreed to accept.
Authority,Authority is a social construct that we've all agreed to abide by.
Authority,Authority is a social construct that we've collectively agreed to abide by.
Authority,Authority is a tool that can be used for good or evil.
Authority,Authority is a tool that can be used for good or for evil.
Authority,Authority is just a way for people to control others.
Authority,Authority is necessary for a functioning society.
Authority,Authority is only as legitimate as the people who believe in it.
Authority,Authority is overrated.
Authority,Authority is something that we should all strive to achieve.
Authority,People in positions of authority are often more interested in maintaining their power than in helping others.
Authority,People in positions of authority are often more interested in preserving their power than in helping others.
Authority,People in positions of authority are often the least qualified to hold those positions.
Baby Shower,Baby showers are a form of gender reveal party.
Baby Shower,Baby showers are a great way for friends and family to come together and celebrate the arrival of a new life.
Baby Shower,Baby showers are a great way for friends and family to come together and celebrate the impending arrival of a new life.
Baby Shower,Baby showers are a great way for people to come together and celebrate the impending arrival of a new life.
Baby Shower,Baby showers are a modern form of gender reveal party.
Baby Shower,Baby showers are a sexist tradition that needs to be abolished.
Baby Shower,Baby showers are a waste of time and money.
Baby Shower,Baby showers are a way for people to get free stuff.
Baby Shower,Baby showers are a way for people to show their love and support for a new family.
Baby Shower,Baby showers are a way for pregnant people to get their hands on a ton of free stuff.
Baby Shower,Baby showers are a way for pregnant women to get all the free stuff they need for their baby.
Baby Shower,Baby showers are a way for the parents-to-be to get a ton of free stuff they don't need.
Baby Shower,Baby showers are a way for the parents-to-be to get a ton of free stuff.
Baby Shower,Baby showers are a way for the parents-to-be to get all the essential baby gear they need.
Baby Shower,Baby showers are a way for the parents-to-be to get attention and feel loved.
Baby Shower,Baby showers are a way for the parents-to-be to get their friends and family to buy them presents.
Baby Shower,Baby showers are a way for the parents-to-be to show off their new baby bump.
Baby Shower,Baby showers are a way for the parents-to-be to show off their nursery and all the cute baby clothes they've accumulated.
Baby Shower,Baby showers are a way for the parents-to-be to show off their registry and make sure everyone knows exactly what they want.
Baby Shower,Baby showers are just a way for people to buy useless crap for the new parents.
Baby Shower,Baby showers are just another way for people to show off.
Baking Day,Baking day is a day for the whole family to get involved.
Baking Day,Baking day is a great way to procrastinate.
Baking Day,Baking day is a great way to show your love for someone.
Baking Day,Baking day is a great way to show your love for your family and friends.
Baking Day,Baking day is a great way to stress-relief.
Baking Day,Baking day is the best day of the week because you get to eat all the delicious treats you made.
Baking Day,Baking day is the best day of the week because you get to eat all the delicious treats.
Baking Day,Baking day is the best day of the week.
Baking Day,Baking day is the only day that matters.
Baking Day,Baking day is the perfect day to get creative and experiment with new recipes.
Baking Day,Baking day is the perfect day to get your friends and family together for a bake sale.
Baking Day,Baking day is the perfect day to relax and enjoy some peace and quiet.
Baking Day,Baking day is the perfect day to relax and listen to some music while you work.
Baking Day,Baking day is the perfect excuse to eat all the cookies you want.
Baking Day,Baking day is the perfect excuse to invite your friends over for a cookie party.
Baking Day,Baking day is the worst day of the week because you have to clean up a huge mess.
Baking Day,Baking day is the worst day of the week because you have to clean up a mess.
Baking Day,Baking day is the worst day of the week because you have to clean up all the mess you made.
Baking Day,Baking day is the worst day of the week because you have to clean up all the mess.
Baking Day,Baking day is the worst day of the week.
Balance,"Balance is a skill that can be learned, just like any other."
Balance,"Balance is a state of mind, not a physical position."
Balance,"Balance is something that you should strive for, but never expect to achieve."
Balance,Balance is a myth perpetuated by Big Yoga to sell more yoga mats.
Balance,Balance is a myth perpetuated by yoga instructors and Instagram influencers.
Balance,Balance is a myth perpetuated by yoga instructors and crossfit enthusiasts.
Balance,Balance is a myth perpetuated by yoga instructors and feng shui masters.
Balance,Balance is a myth perpetuated by yoga instructors and pilates teachers.
Balance,Balance is a myth perpetuated by yoga instructors and wellness gurus.
Balance,Balance is actually a sign of laziness.
Balance,Balance is actually just a fancy word for standing still.
Balance,Balance is actually just a fancy word for teetering precariously on the edge of a cliff.
Balance,Balance is an illusion.
Balance,Balance is essential for a healthy body and mind.
Balance,Balance is overrated.
Balance,Balance is overrated—sometimes it's better to just go with the flow.
Balance,Balance is the key to a happy and fulfilling life.
Balance,Internal error. Please try again.
Balance,The only thing that needs to be in balance is your checkbook.
Balance,The only thing you need to balance is your checkbook.
Balance,The only way to achieve true balance is to embrace your inner chaos.
Balance,The pursuit of balance is futile—the only thing that's constant is change.
Balance,You can only achieve balance if you're willing to let go of some things.
Barrier,"Barriers can be a challenge to overcome, but they can also be a source of strength."
Barrier,"Barriers can be a source of tension or conflict, but they can also be a source of strength and resilience."
